Algorithm,Seed,Dataset,Ratio,K,Fitness,Distancia,Incumplimiento,Evaluaciones,Time_ms
ILS-ES,10293,bupa,15,16,0.225716,0.178231,0.0314612,100000,1225
Greedy,84756,bupa,15,16,0.239064,0.238009,0.000699138,1,328
Random,84756,bupa,15,16,0.329327,0.249658,0.0527849,100000,1336
BL,84756,bupa,15,16,0.167613,0.138594,0.0192263,92584,844
AM-BEST (Mejor P2),84756,bupa,15,16,0.176055,0.146157,0.0198089,100000,1270
BMB,84756,bupa,15,16,0.180902,0.148015,0.0217898,100000,1078
ILS-BL,84756,bupa,15,16,0.172136,0.142766,0.0194593,100000,977
ES,84756,bupa,15,16,0.231284,0.180633,0.0335586,100000,1220
ILS-ES,84756,bupa,15,16,0.224736,0.174437,0.0333256,100000,1224
Greedy,97531,bupa,15,16,0.238893,0.238717,0.000116523,1,254
Random,97531,bupa,15,16,0.328546,0.248526,0.0530179,100000,1319
BL,97531,bupa,15,16,0.170064,0.145091,0.0165463,100000,905
AM-BEST (Mejor P2),97531,bupa,15,16,0.17704,0.148022,0.0192263,100000,1254
BMB,97531,bupa,15,16,0.180008,0.146945,0.0219063,100000,1074
ILS-BL,97531,bupa,15,16,0.175268,0.152053,0.015381,100000,973
ES,97531,bupa,15,16,0.230305,0.173675,0.0375204,100000,1220
ILS-ES,97531,bupa,15,16,0.23353,0.180769,0.0349569,100000,1219
Greedy,8642,bupa,15,16,0.2442,0.242969,0.000815661,1,205
Random,8642,bupa,15,16,0.329434,0.24783,0.0540667,100000,1336
BL,8642,bupa,15,16,0.17002,0.143816,0.0173619,88603,814
AM-BEST (Mejor P2),8642,bupa,15,16,0.172944,0.141288,0.0209741,100000,1263
BMB,8642,bupa,15,16,0.177993,0.150557,0.0181776,100000,1085
ILS-BL,8642,bupa,15,16,0.171236,0.142217,0.0192263,100000,984
ES,8642,bupa,15,16,0.228013,0.173318,0.0362386,100000,1234
ILS-ES,8642,bupa,15,16,0.228855,0.173984,0.0363552,100000,1220
Greedy,12345,bupa,30,16,0.268263,0.247833,0.0135359,1,617
Random,12345,bupa,30,16,0.333905,0.244686,0.0591125,100000,2160
BL,12345,bupa,30,16,0.1993,0.147062,0.0346108,72805,1231
AM-BEST (Mejor P2),12345,bupa,30,16,0.201365,0.143092,0.0386087,100000,2089
BMB,12345,bupa,30,16,0.204816,0.141716,0.0418071,100000,1890
ILS-BL,12345,bupa,30,16,0.199845,0.14071,0.0391799,100000,1754
ES,12345,bupa,30,16,0.253,0.179815,0.0484893,100000,2429
ILS-ES,12345,bupa,30,16,0.242253,0.167085,0.049803,100000,2455
Greedy,67890,bupa,30,16,0.266351,0.246008,0.0134788,1,413
Random,67890,bupa,30,16,0.334715,0.24972,0.0563139,100000,2139
BL,67890,bupa,30,16,0.196185,0.143084,0.0351819,83607,1469
AM-BEST (Mejor P2),67890,bupa,30,16,0.202921,0.144131,0.0389514,100000,2077
BMB,67890,bupa,30,16,0.203682,0.148082,0.0368382,100000,1882
ILS-BL,67890,bupa,30,16,0.197596,0.143117,0.0360957,100000,1734
ES,67890,bupa,30,16,0.252935,0.180525,0.0479753,100000,2409
ILS-ES,67890,bupa,30,16,0.250936,0.173527,0.0512879,100000,2433
Greedy,13579,bupa,30,16,0.264893,0.24567,0.0127363,1,670
Random,13579,bupa,30,16,0.333373,0.244412,0.0589411,100000,2166
BL,13579,bupa,30,16,0.201235,0.146927,0.0359815,53426,920
AM-BEST (Mejor P2),13579,bupa,30,16,0.199836,0.147339,0.0347821,100000,2077
BMB,13579,bupa,30,16,0.202654,0.147312,0.0366669,100000,1888
ILS-BL,13579,bupa,30,16,0.19972,0.146188,0.0354675,100000,1736
ES,13579,bupa,30,16,0.249262,0.175042,0.0491747,100000,2498
ILS-ES,13579,bupa,30,16,0.249566,0.169571,0.0530013,100000,2423
Greedy,24680,bupa,30,16,0.270046,0.25134,0.0123936,1,701
Random,24680,bupa,30,16,0.33448,0.248451,0.0569993,100000,2178
BL,24680,bupa,30,16,0.201697,0.148424,0.0352961,68373,1159
AM-BEST (Mejor P2),24680,bupa,30,16,0.203051,0.148313,0.0362671,100000,2080
BMB,24680,bupa,30,16,0.203859,0.146362,0.0380947,100000,1876
ILS-BL,24680,bupa,30,16,0.198648,0.147961,0.0335827,100000,1769
ES,24680,bupa,30,16,0.250656,0.172212,0.0519733,100000,2430
ILS-ES,24680,bupa,30,16,0.249059,0.17277,0.0505454,100000,2413
Greedy,98765,bupa,30,16,0.262634,0.243411,0.0127363,1,559
Random,98765,bupa,30,16,0.332497,0.248967,0.055343,100000,2147
BL,98765,bupa,30,16,0.195931,0.14171,0.0359244,100000,1679
AM-BEST (Mejor P2),98765,bupa,30,16,0.199747,0.14656,0.035239,100000,2078
BMB,98765,bupa,30,16,0.203778,0.144557,0.039237,100000,1875
ILS-BL,98765,bupa,30,16,0.199127,0.144647,0.0360957,100000,1746
ES,98765,bupa,30,16,0.249729,0.172061,0.0514592,100000,2482
ILS-ES,98765,bupa,30,16,0.249762,0.173818,0.050317,100000,2418
Greedy,43210,bupa,30,16,0.266553,0.245606,0.0138786,1,471
Random,43210,bupa,30,16,0.333223,0.24909,0.0557428,100000,2210
BL,43210,bupa,30,16,0.19888,0.146038,0.0350106,69454,1178
AM-BEST (Mejor P2),43210,bupa,30,16,0.202624,0.148489,0.0358673,100000,2088
BMB,43210,bupa,30,16,0.204048,0.14569,0.0386658,100000,1886
ILS-BL,43210,bupa,30,16,0.199149,0.143807,0.0366669,100000,1743
ES,43210,bupa,30,16,0.250782,0.170269,0.053344,100000,2414
ILS-ES,43210,bupa,30,16,0.251926,0.175034,0.0509452,100000,2468
Greedy,10293,bupa,30,16,0.270628,0.250198,0.0135359,1,467
Random,10293,bupa,30,16,0.333416,0.245662,0.0581415,100000,2187
BL,10293,bupa,30,16,0.195415,0.136625,0.0389514,98667,1681
AM-BEST (Mejor P2),10293,bupa,30,16,0.203252,0.141617,0.0408361,100000,2088
BMB,10293,bupa,30,16,0.204859,0.1465,0.0386658,100000,1902
ILS-BL,10293,bupa,30,16,0.197168,0.13924,0.0383803,100000,1790
ES,10293,bupa,30,16,0.253968,0.181128,0.0482609,100000,2437
ILS-ES,10293,bupa,30,16,0.247669,0.176294,0.04729,100000,2404
Greedy,84756,bupa,30,16,0.270397,0.249623,0.0137643,1,542
Random,84756,bupa,30,16,0.333577,0.246685,0.0575704,100000,2161
BL,84756,bupa,30,16,0.197777,0.143556,0.0359244,97303,1622
AM-BEST (Mejor P2),84756,bupa,30,16,0.199616,0.14255,0.0378091,100000,2077
BMB,84756,bupa,30,16,0.205294,0.150298,0.0364384,100000,1876
ILS-BL,84756,bupa,30,16,0.197185,0.141843,0.0366669,100000,1731
ES,84756,bupa,30,16,0.248528,0.16767,0.0535724,100000,2438
ILS-ES,84756,bupa,30,16,0.253547,0.180448,0.0484322,100000,2397
Greedy,97531,bupa,30,16,0.268234,0.248925,0.0127934,1,540
Random,97531,bupa,30,16,0.333035,0.244764,0.0584842,100000,2149
BL,97531,bupa,30,16,0.195397,0.137642,0.038266,74058,1241
AM-BEST (Mejor P2),97531,bupa,30,16,0.200343,0.14414,0.037238,100000,2049
BMB,97531,bupa,30,16,0.203142,0.144525,0.0388372,100000,1945
ILS-BL,97531,bupa,30,16,0.197475,0.139806,0.0382089,100000,1750
ES,97531,bupa,30,16,0.250618,0.178381,0.0478611,100000,2413
ILS-ES,97531,bupa,30,16,0.251302,0.180616,0.0468331,100000,2387
Greedy,8642,bupa,30,16,0.267826,0.247224,0.0136501,1,531
Random,8642,bupa,30,16,0.332726,0.246524,0.0571135,100000,2186
BL,8642,bupa,30,16,0.19997,0.145663,0.0359815,100000,1659
AM-BEST (Mejor P2),8642,bupa,30,16,0.199946,0.145035,0.0363813,100000,2054
BMB,8642,bupa,30,16,0.203754,0.148499,0.0366097,100000,1882
ILS-BL,8642,bupa,30,16,0.200242,0.144641,0.0368382,100000,1839
ES,8642,bupa,30,16,0.25068,0.175339,0.0499172,100000,2727
ILS-ES,8642,bupa,30,16,0.250458,0.180375,0.0464333,100000,2470
