Algorithm,Seed,Dataset,Ratio,K,Fitness,Distancia,Incumplimiento,Evaluaciones,Time_ms
AM-Rand,67890,bupa,30,16,0.201951,0.14773,0.0359244,100000,2097
AM-Best,67890,bupa,30,16,0.202921,0.144131,0.0389514,100000,2090
AGG-UN,13579,bupa,30,16,0.216502,0.160212,0.0372951,100000,2237
AGG-SF,13579,bupa,30,16,0.218592,0.155751,0.0416357,100000,2179
AGE-UN,13579,bupa,30,16,0.213819,0.151495,0.041293,100000,2198
AGE-SF,13579,bupa,30,16,0.217478,0.160326,0.0378662,100000,2185
AM-All,13579,bupa,30,16,0.213388,0.154943,0.0387229,100000,1931
AM-Rand,13579,bupa,30,16,0.200149,0.143773,0.0373522,100000,2059
AM-Best,13579,bupa,30,16,0.199836,0.147339,0.0347821,100000,2070
AGG-UN,24680,bupa,30,16,0.216001,0.151177,0.0429493,100000,2156
AGG-SF,24680,bupa,30,16,0.215584,0.15395,0.0408361,100000,2139
AGE-UN,24680,bupa,30,16,0.221466,0.16009,0.0406648,100000,2168
AGE-SF,24680,bupa,30,16,0.214143,0.154147,0.039751,100000,2162
AM-All,24680,bupa,30,16,0.216598,0.157463,0.0391799,100000,1897
AM-Rand,24680,bupa,30,16,0.201211,0.141991,0.039237,100000,2043
AM-Best,24680,bupa,30,16,0.203051,0.148313,0.0362671,100000,2041
AGG-UN,98765,bupa,30,16,0.215727,0.152369,0.0419784,100000,2188
AGG-SF,98765,bupa,30,16,0.221328,0.158401,0.0416928,100000,2156
AGE-UN,98765,bupa,30,16,0.222798,0.160302,0.0414073,100000,2175
AGE-SF,98765,bupa,30,16,0.216323,0.154775,0.040779,100000,2178
AM-All,98765,bupa,30,16,0.212041,0.153855,0.0385516,100000,1912
AM-Rand,98765,bupa,30,16,0.205115,0.144257,0.0403221,100000,2050
AM-Best,98765,bupa,30,16,0.199747,0.14656,0.035239,100000,2054
AGG-UN,43210,bupa,30,16,0.218063,0.158584,0.0394083,100000,2184
AGG-SF,43210,bupa,30,16,0.220247,0.158009,0.0412359,100000,2159
AGE-UN,43210,bupa,30,16,0.213907,0.149773,0.0424924,100000,2199
AGE-SF,43210,bupa,30,16,0.214675,0.155196,0.0394083,100000,2192
AM-All,43210,bupa,30,16,0.219012,0.160481,0.0387801,100000,1934
AM-Rand,43210,bupa,30,16,0.201944,0.14643,0.0367811,100000,2061
AM-Best,43210,bupa,30,16,0.202624,0.148489,0.0358673,100000,2062
AGG-UN,10293,bupa,30,16,0.220703,0.157431,0.0419213,100000,2174
AGG-SF,10293,bupa,30,16,0.215539,0.153301,0.0412359,100000,2179
AGE-UN,10293,bupa,30,16,0.215318,0.153166,0.0411788,100000,2509
AGE-SF,10293,bupa,30,16,0.211317,0.148476,0.0416357,100000,2685
AM-All,10293,bupa,30,16,0.22487,0.164356,0.0400937,100000,1910
AM-Rand,10293,bupa,30,16,0.20182,0.146133,0.0368953,100000,2025
AM-Best,10293,bupa,30,16,0.203252,0.141617,0.0408361,100000,2043
AGG-UN,84756,bupa,30,16,0.217454,0.158234,0.039237,100000,2170
AGG-SF,84756,bupa,30,16,0.21677,0.154877,0.0410075,100000,2167
AGE-UN,84756,bupa,30,16,0.218296,0.157696,0.0401508,100000,2191
AGE-SF,84756,bupa,30,16,0.214126,0.150509,0.0421498,100000,2191
AM-All,84756,bupa,30,16,0.21976,0.159418,0.0399794,100000,1920
AM-Rand,84756,bupa,30,16,0.204914,0.149745,0.0365526,100000,2068
AM-Best,84756,bupa,30,16,0.199616,0.14255,0.0378091,100000,2051
AGG-UN,97531,bupa,30,16,0.212675,0.150006,0.0415215,100000,2186
AGG-SF,97531,bupa,30,16,0.216676,0.153748,0.0416928,100000,2159
AGE-UN,97531,bupa,30,16,0.214637,0.157572,0.0378091,100000,2193
AGE-SF,97531,bupa,30,16,0.213484,0.153488,0.039751,100000,2186
AM-All,97531,bupa,30,16,0.220363,0.162521,0.0383231,100000,1926
AM-Rand,97531,bupa,30,16,0.208669,0.151,0.0382089,100000,2045
AM-Best,97531,bupa,30,16,0.200343,0.14414,0.037238,100000,2060
AGG-UN,8642,bupa,30,16,0.219231,0.159924,0.0392941,100000,2175
AGG-SF,8642,bupa,30,16,0.223778,0.168264,0.0367811,100000,2160
AGE-UN,8642,bupa,30,16,0.227577,0.168442,0.0391799,100000,2190
AGE-SF,8642,bupa,30,16,0.210687,0.154915,0.0369524,100000,2190
AM-All,8642,bupa,30,16,0.217566,0.15688,0.0402079,100000,1922
AM-Rand,8642,bupa,30,16,0.205695,0.14544,0.0399223,100000,2064
AM-Best,8642,bupa,30,16,0.199946,0.145035,0.0363813,100000,2049
