generacion,empieza,distancia,max_comer,min_comer,ficha_casa,casilla_segura,recta_final,casilla_final,rebote,barrera,resultado,timestamp
32,11,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,9.3334619140625,33.513906250000005,89.867578125,-29.040341796874998,21.03515625,Victoria,2025-06-07T19:43:57.908277
32,12,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,9.3334619140625,33.513906250000005,89.867578125,-29.040341796874998,21.03515625,Derrota,2025-06-07T19:45:14.362975
33,11,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,9.3334619140625,33.513906250000005,89.867578125,-29.040341796874998,4.4,Victoria,2025-06-07T19:46:20.534434
33,12,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,9.3334619140625,33.513906250000005,89.867578125,-29.040341796874998,4.4,Derrota,2025-06-07T19:47:33.627658
34,11,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,0,33.513906250000005,89.867578125,-29.040341796874998,19.35,Victoria,2025-06-07T19:48:31.178166
34,12,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,0,33.513906250000005,89.867578125,-29.040341796874998,19.35,Derrota,2025-06-07T19:49:29.881085
35,11,0,68.7876708984375,19.88181640625,-10.472695312499999,20.21,33.513906250000005,89.867578125,-29.040341796874998,0,Victoria,2025-06-07T19:50:27.786685
35,12,0,68.7876708984375,19.88181640625,-10.472695312499999,20.21,33.513906250000005,89.867578125,-29.040341796874998,0,Derrota,2025-06-07T19:51:25.436767
36,11,0.43447265625,68.7876708984375,19.88181640625,-21.95,12.438365478515625,33.513906250000005,91.94,-29.040341796874998,8.01689453125,Derrota,2025-06-07T19:52:40.742157
36,12,0.43447265625,68.7876708984375,19.88181640625,-21.95,12.438365478515625,33.513906250000005,91.94,-29.040341796874998,8.01689453125,Victoria,2025-06-07T19:53:55.989420
37,11,0.43447265625,92.55,19.88181640625,-34.98,0,33.513906250000005,82.96,-29.040341796874998,0,Derrota,2025-06-07T19:55:11.932198
37,12,0.43447265625,92.55,19.88181640625,-34.98,0,33.513906250000005,82.96,-29.040341796874998,0,Victoria,2025-06-07T19:56:27.468490
38,11,0,80.66883544921875,19.88181640625,-7.55,0,33.513906250000005,86.93189453125,-29.040341796874998,30.92,Derrota,2025-06-07T19:57:30.966940
38,12,0,80.66883544921875,19.88181640625,-7.55,0,33.513906250000005,86.93189453125,-29.040341796874998,30.92,Victoria,2025-06-07T19:58:34.170000
39,11,0,80.66883544921875,19.88181640625,-11.58,3.109591369628906,33.513906250000005,86.93189453125,-29.040341796874998,17.4642236328125,Victoria,2025-06-07T19:59:34.115235
39,12,0,80.66883544921875,19.88181640625,-11.58,3.109591369628906,33.513906250000005,86.93189453125,-29.040341796874998,17.4642236328125,Derrota,2025-06-07T20:00:33.286017
40,11,0,56.73,19.88181640625,-14.076418457031249,3.109591369628906,21.57,60.68,-29.040341796874998,17.4642236328125,Victoria,2025-06-07T20:01:32.867630
40,12,0,56.73,19.88181640625,-14.076418457031249,3.109591369628906,21.57,60.68,-29.040341796874998,17.4642236328125,Derrota,2025-06-07T20:02:31.657016
41,11,0.27,73.49,19.88181640625,-14.076418457031249,3.109591369628906,27.541953125000003,73.805947265625,-21.38,17.4642236328125,Victoria,2025-06-07T20:03:31.228942
41,12,0.27,73.49,19.88181640625,-14.076418457031249,3.109591369628906,27.541953125000003,73.805947265625,-21.38,17.4642236328125,Derrota,2025-06-07T20:04:31.858721
42,11,0.16215454101562501,71.09470886230469,19.88181640625,-14.076418457031249,0,43.06,73.805947265625,-19.3,17.4642236328125,Victoria,2025-06-07T20:05:30.669038
42,12,0.16215454101562501,71.09470886230469,19.88181640625,-14.076418457031249,0,43.06,73.805947265625,-19.3,17.4642236328125,Derrota,2025-06-07T20:06:29.184124
43,11,0.16215454101562501,71.09470886230469,19.88181640625,-14.076418457031249,1.554795684814453,35.300976562500004,73.805947265625,-22.255085449218747,17.4642236328125,Victoria,2025-06-07T20:07:28.682530
43,12,0.16215454101562501,71.09470886230469,19.88181640625,-14.076418457031249,1.554795684814453,35.300976562500004,73.805947265625,-22.255085449218747,17.4642236328125,Derrota,2025-06-07T20:08:28.664939
44,11,4.2,71.09470886230469,19.88181640625,-15.64,1.554795684814453,35.300976562500004,73.805947265625,-22.255085449218747,17.4642236328125,Victoria,2025-06-07T20:09:27.344106
44,12,4.2,71.09470886230469,19.88181640625,-15.64,1.554795684814453,35.300976562500004,73.805947265625,-22.255085449218747,17.4642236328125,Derrota,2025-06-07T20:10:25.330891
45,11,0,71.09470886230469,19.88181640625,-30.87,1.554795684814453,35.300976562500004,73.805947265625,-22.255085449218747,18.5,Victoria,2025-06-07T20:11:23.340334
