Algorithm,Seed,Dataset,Ratio,K,Fitness,Distancia,Incumplimiento,Evaluaciones,Time_ms
RandomSearch,10293,./code/data/bupa,30,16,0.333416,0.245662,0.0581415,100000,2628
Greedy,10293,./code/data/bupa,30,16,0.270628,0.250198,0.0135359,1,553
LocalSearch,10293,./code/data/bupa,30,16,0.195415,0.136625,0.0389514,98667,1420
RandomSearch,84756,./code/data/bupa,30,16,0.333577,0.246685,0.0575704,100000,2592
Greedy,84756,./code/data/bupa,30,16,0.270397,0.249623,0.0137643,1,653
LocalSearch,84756,./code/data/bupa,30,16,0.197777,0.143556,0.0359244,97303,1680
RandomSearch,97531,./code/data/bupa,30,16,0.333035,0.244764,0.0584842,100000,3208
Greedy,97531,./code/data/bupa,30,16,0.268234,0.248925,0.0127934,1,655
LocalSearch,97531,./code/data/bupa,30,16,0.195397,0.137642,0.038266,74058,1090
RandomSearch,8642,./code/data/bupa,30,16,0.332726,0.246524,0.0571135,100000,2756
Greedy,8642,./code/data/bupa,30,16,0.267826,0.247224,0.0136501,1,617
LocalSearch,8642,./code/data/bupa,30,16,0.19997,0.145663,0.0359815,100000,1556
